title,authors,arxiv_url,abstract,abstract_ja,figure1_or_table1
Constraint Logic Programming for Real-World Test Laboratory Scheduling,"['Tobias Geibinger', 'Florian Mischek', 'Nysret Musliu']",,,,
Projection-Free Online Learning over Strongly Convex Sets,"['Yuanyu Wan', 'Lijun Zhang']",https://arxiv.org/abs/2010.08177,"To efficiently solve online problems with complicated constraints, projection-free algorithms including online frank-wolfe (OFW) and its variants have received significant interest recently. However, in the general case, existing projection-free algorithms only achieved the regret bound of $O(T^{3/4})$, which is worse than the regret of projection-based algorithms, where $T$ is the number of decision rounds. In this paper, we study the special case of online learning over strongly convex sets, for which we first prove that OFW enjoys a better regret bound of $O(T^{2/3})$ for general convex losses. The key idea is to refine the decaying step-size in the original OFW by a simple line search rule. Furthermore, for strongly convex losses, we propose a strongly convex variant of OFW by redefining the surrogate loss function in OFW. We show that it achieves a regret bound of $O(T^{2/3})$ over general convex sets and a better regret bound of $O(\sqrt{T})$ over strongly convex sets.",複雑な制約のあるオンライン問題を効率的に解決するために、オンラインフランクウルフ（OFW）とその変種を含む射影のないアルゴリズムが最近大きな関心を集めています。ただし、一般的なケースでは、既存の射影のないアルゴリズムはO（T ^（3/4））の後悔の限界しか達成しませんでした。これは、射影ベースのアルゴリズムの後悔よりも悪いです。ここで、Tは決定ラウンドの数です。この論文では、強い凸集合を介したオンライン学習の特殊なケースを研究します。そのため、OFWが一般的な凸損失に対してO（T ^（2/3））のより良い後悔限界を享受していることを最初に証明します。重要なアイデアは、単純なライン探索ルールによって元のOFWの減衰ステップサイズを改良することです。さらに、強く凸状の損失については、OFWの代理損失関数を再定義することにより、OFWの強く凸状の変形を提案します。一般的な凸集合に対してO（T ^（2/3））の後悔限界を達成し、強く凸集合に対して$ O（\ sqrt {T}）$のより良い後悔限界を達成することを示します。,
Faster Stackelberg Planning via Symbolic Search and Information Sharing,"['Alvaro Torralba', 'Patrick Speicher', 'Robert Künnemann', 'Marcel Steinmetz', 'Joerg Hoffmann']",,,,
GraphMSE: Efficient Meta-Path Selection in Semantically Aligned Feature Space for Graph Neural Networks,"['Yi Li', 'Yilun Jin', 'Guojie Song', 'Zihao Zhu', 'Chuan Shi', 'Yiming Wang']",,,,
ECG ODE-GAN: Learning Ordinary Differential Equations of ECG Dynamics via Generative Adversarial Learning,"['Tomer Golany', 'Kira Radinsky', 'Daniel Freedman']",,,,
"Infinite-Dimensional Fisher Markets: Equilibrium, Duality and Optimization","['Yuan Gao', 'Christian Kroer']",,"This paper considers a linear Fisher market with $n$ buyers and a continuum of items. In order to compute market equilibria, we introduce (infinite-dimensional) convex programs over Banach spaces, thereby generalizing the Eisenberg-Gale convex program and its dual. Regarding the new convex programs, we establish existence of optimal solutions, the existence of KKT-type conditions, as well as strong duality. All these properties are established via non-standard arguments, which circumvent the limitations of duality theory in optimization over infinite-dimensional vector spaces. Furthermore, we show that there exists a pure equilibrium allocation, i.e., a division of the item space. Similar to the finite-dimensional case, a market equilibrium under the infinite-dimensional Fisher market is Pareto optimal, envy-free and proportional. We also show how to obtain the (a.e. unique) equilibrium price vector and a pure equilibrium allocation from the (unique) $n$-dimensional equilibrium bang-per-buck vector. When the item space is the unit interval $[0,1]$ and buyers have piecewise linear utilities, we show that $\epsilon$-approximate equilibrium prices can be computed in time polynomial in the market size and $\log \frac{1}{\epsilon}$. This is achieved by solving a finite-dimensional convex program using the ellipsoid method. To this end, we give nontrivial and efficient subgradient and separation oracles. For general buyer valuations, we propose computing market equilibrium using stochastic dual averaging, which finds an approximate equilibrium price vector with high probability.",このペーパーでは、n人のバイヤーと一連のアイテムがある線形フィッシャー市場について考察します。市場均衡を計算するために、バナッハ空間上に（無限次元の）凸計画を導入し、それによってアイゼンバーグ-ゲール凸計画とその双対を一般化します。新しい凸プログラムに関しては、最適解の存在、KKT型条件の存在、および強双対性を確立します。これらのプロパティはすべて、無限次元のベクトル空間での最適化における双対理論の制限を回避する非標準の引数を介して確立されます。さらに、純粋な均衡配分、つまりアイテム空間の分割が存在することを示します。有限次元の場合と同様に、無限次元のフィッシャー市場の下での市場均衡は、パレート最適で、羨望のない、比例的です。また、（固有の）n次元均衡バングパーバックベクトルから（固有の）均衡価格ベクトルと純粋な均衡配分を取得する方法も示します。アイテムスペースが単位間隔[0、1]であり、バイヤーが区分的線形ユーティリティを使用している場合、-近似均衡価格は市場規模と$ \ log \ frac {1} {\ epsilon}の時間多項式で計算できることを示します。 $。これは、楕円体法を使用して有限次元の凸計画を解くことによって実現されます。この目的のために、私たちは重要で効率的な劣勾配および分離オラクルを提供します。一般的なバイヤーの評価については、確率的二重平均を使用して市場均衡を計算することを提案します。これにより、高い確率で近似均衡価格ベクトルが見つかります。,https://d3i71xaburhd42.cloudfront.net/8de20a5ecb5a4cafde283dfe4b112ab0f3a02a8f/7-Figure1-1.png
Noninvasive Self-Attention for Side Information Fusion in Sequential Recommendation,"['Chang Liu', 'Xiaoguang Li', 'Guohao Cai', 'Zhenhua Dong', 'Lifeng Shang', 'Hong Zhu']",,,,
Augmented Experiment in Material Engineering Using Machine Learning,"['Aomar Osmani', 'Massinissa Hamidi', 'Salah Bouhouche']",,,,
Joint-Label Learning by Dual Augmentation for Time Series Classification,"['Qianli Ma', 'Zhenjing Zheng', 'Jiawei Zheng', 'Sen Li', 'Wanqing Zhuang', 'Garrison Cottrell']",,,,
Improving Maximum k-plex Solver via Second-Order Reduction and Graph Color Bounding,"['Yi Zhou', 'Shan Hu', 'Mingyu Xiao', 'Zhang-Hua Fu']",,,,
Human-Level Interpretable Learning for Aspect-Based Sentiment Analysis,"['Rohan K Yadav', 'Lei Jiao', 'Ole-Christoffer Granmo', 'Morten Goodwin']",,,,
GLIB: Efficient Exploration for Relational Model-Based Reinforcement Learning via Goal-Literal Babbling,"['Rohan Chitnis', 'Tom Silver', 'Joshua Tenenbaum', 'Leslie Kaelbling', 'Tomas Lozano-Perez']",https://arxiv.org/abs/2001.08299,"We address the problem of efficient exploration for transition model learning in the relational model-based reinforcement learning setting without extrinsic goals or rewards. Inspired by human curiosity, we propose goal-literal babbling (GLIB), a simple and general method for exploration in such problems. GLIB samples relational conjunctive goals that can be understood as specific, targeted effects that the agent would like to achieve in the world, and plans to achieve these goals using the transition model being learned. We provide theoretical guarantees showing that exploration with GLIB will converge almost surely to the ground truth model. Experimentally, we find GLIB to strongly outperform existing methods in prediction and planning on a range of tasks, encompassing standard PDDL and PPDDL planning benchmarks and a robotic manipulation task in the PyBullet physics simulator. Video: this https URL",外部の目標や報酬のないリレーショナルモデルベースの強化学習設定での遷移モデル学習の効率的な探索の問題に対処します。人間の好奇心に触発されて、私たちはそのような問題を探求するための簡単で一般的な方法であるゴールリテラルバブリング（GLIB）を提案します。 GLIBは、エージェントが世界で達成したい特定のターゲット効果として理解できる関係接続詞の目標をサンプリングし、学習中の遷移モデルを使用してこれらの目標を達成することを計画します。 GLIBを使用した探索がほぼ確実にグラウンドトゥルースモデルに収束することを示す理論的保証を提供します。実験的に、GLIBは、標準のPDDLおよびPPDDL計画ベンチマークとPyBullet物理シミュレーターのロボット操作タスクを含む、さまざまなタスクの予測と計画において既存の方法を大幅に上回っています。ビデオ：このhttps URL,
Multi-Scale Spatial Temporal Graph Convolutional Network for Skeleton-Based Action Recognition,"['Zhan Chen', 'Sicheng Li', 'Bing Yang', 'Qinghan Li', 'Hong Liu']",,,,
Learning to Stop: Dynamic Simulation Monte-Carlo Tree Search,"['Li Cheng Lan', 'Cho-Jui Hsieh', 'Ti-Rong Wu', 'I-Chen Wu']",https://arxiv.org/abs/2012.07910,"Monte Carlo tree search (MCTS) has achieved state-of-the-art results in many domains such as Go and Atari games when combining with deep neural networks (DNNs). When more simulations are executed, MCTS can achieve higher performance but also requires enormous amounts of CPU and GPU resources. However, not all states require a long searching time to identify the best action that the agent can find. For example, in 19x19 Go and NoGo, we found that for more than half of the states, the best action predicted by DNN remains unchanged even after searching 2 minutes. This implies that a significant amount of resources can be saved if we are able to stop the searching earlier when we are confident with the current searching result. In this paper, we propose to achieve this goal by predicting the uncertainty of the current searching status and use the result to decide whether we should stop searching. With our algorithm, called Dynamic Simulation MCTS (DS-MCTS), we can speed up a NoGo agent trained by AlphaZero 2.5 times faster while maintaining a similar winning rate. Also, under the same average simulation count, our method can achieve a 61% winning rate against the original program.",モンテカルロ木探索（MCTS）は、ディープニューラルネットワーク（DNN）と組み合わせると、GoやAtariゲームなどの多くのドメインで最先端の結果を達成しています。より多くのシミュレーションが実行されると、MCTSはより高いパフォーマンスを達成できますが、膨大な量のCPUおよびGPUリソ​​ースも必要とします。ただし、すべての状態で、エージェントが見つけることができる最適なアクションを特定するために長い検索時間が必要なわけではありません。たとえば、19x19 GoとNoGoでは、州の半分以上で、2分検索した後でもDNNによって予測された最良のアクションが変わらないことがわかりました。これは、現在の検索結果に自信があるときに検索を早期に停止できれば、かなりの量のリソースを節約できることを意味します。本論文では、現在の検索状況の不確実性を予測し、その結果を使用して検索を停止するかどうかを決定することにより、この目標を達成することを提案します。 Dynamic Simulation MCTS（DS-MCTS）と呼ばれるアルゴリズムを使用すると、同様の勝率を維持しながら、AlphaZeroによってトレーニングされたNoGoエージェントを2.5倍高速化できます。また、同じ平均シミュレーション数の下で、私たちの方法は61を達成することができます,https://d3i71xaburhd42.cloudfront.net/ad038ba73ba8a2b7d855624c7e107e711dd63790/1-Figure1-1.png
A Graph Reasoning Network for Multi-Turn Response Selection via Customized Pre-Training,"['Yongkang Liu', 'Shi Feng', 'Daling Wang', 'Kaisong Song', 'Ren Feiliang', 'Yifei Zhang']",https://arxiv.org/abs/2012.11099,"We investigate response selection for multi-turn conversation in retrieval-based chatbots. Existing studies pay more attention to the matching between utterances and responses by calculating the matching score based on learned features, leading to insufficient model reasoning ability. In this paper, we propose a graphreasoning network (GRN) to address the problem. GRN first conducts pre-training based on ALBERT using next utterance prediction and utterance order prediction tasks specifically devised for response selection. These two customized pre-training tasks can endow our model with the ability of capturing semantical and chronological dependency between utterances. We then fine-tune the model on an integrated network with sequence reasoning and graph reasoning structures. The sequence reasoning module conducts inference based on the highly summarized context vector of utterance-response pairs from the global perspective. The graph reasoning module conducts the reasoning on the utterance-level graph neural network from the local perspective. Experiments on two conversational reasoning datasets show that our model can dramatically outperform the strong baseline methods and can achieve performance which is close to human-level.",検索ベースのチャットボットにおけるマルチターン会話の応答選択を調査します。既存の研究では、学習した特徴に基づいてマッチングスコアを計算することにより、発話と応答のマッチングにさらに注意を払っているため、モデルの推論能力が不十分になっています。本論文では、問題に対処するためにグラフ推論ネットワーク（GRN）を提案します。 GRNはまず、応答選択のために特別に考案された次の発話予測および発話順序予測タスクを使用して、ALBERTに基づく事前トレーニングを実行します。これらの2つのカスタマイズされた事前トレーニングタスクは、発話間の意味的および時系列の依存関係をキャプチャする機能をモデルに与えることができます。次に、シーケンス推論とグラフ推論の構造を使用して、統合ネットワーク上でモデルを微調整します。シーケンス推論モジュールは、グローバルな観点から、発話と応答のペアの高度に要約されたコンテキストベクトルに基づいて推論を実行します。グラフ推論モジュールは、ローカルの観点から発話レベルのグラフニューラルネットワークで推論を実行します。 2つの会話型推論データセットでの実験は、私たちのモデルが強力なベースライン手法を劇的に上回り、人間レベルに近いパフォーマンスを達成できることを示しています。,https://d3i71xaburhd42.cloudfront.net/9698cff93ec15e4c92b1fccb2332673ef4074899/1-Figure1-1.png
Increasing Iterate Averaging for Solving Saddle-Point Problems,"['Yuan Gao', 'Christian Kroer', 'Donald Goldfarb']",,"Many problems in machine learning and game theory can be formulated as saddle-point problems, for which various first-order methods have been developed and proven efficient in practice. Under the general convex-concave assumption, most first-order methods only guarantee ergodic convergence, that is, convergence of the uniform averages of the iterates. However, numerically, the iterates themselves can sometimes converge much faster than the uniform averages. This observation motivates increasing averaging schemes that put more weight on later iterates, in contrast to the usual uniform averaging. We show that such increasing averaging schemes, applied to various first-order methods, are able to preserve the convergence of the averaged iterates with no additional assumptions or computational overhead. Extensive numerical experiments on various equilibrium computation and image denoising problems demonstrate the effectiveness of the increasing averaging schemes. In particular, the increasing averages consistently outperform the uniform averages in all test problems by orders of magnitude. When solving matrix games and extensive-form games, increasing averages consistently outperform the last iterate as well. For matrix games, a first-order method equipped with increasing averaging outperforms the highly competitive CFR$^+$ algorithm.",機械学習とゲーム理論の多くの問題は鞍点問題として定式化でき、さまざまな一次手法が開発され、実際に効率的であることが証明されています。一般的な凸凹の仮定の下では、ほとんどの1次法は、エルゴード収束、つまり反復の均一平均の収束のみを保証します。ただし、数値的には、反復自体が均一な平均​​よりもはるかに速く収束する場合があります。この観察は、通常の均一な平均​​化とは対照的に、後の反復により多くの重みを置く平均化スキームの増加を動機付けます。さまざまな一次法に適用されるこのような増加する平均化スキームは、追加の仮定や計算のオーバーヘッドなしに、平均化された反復の収束を維持できることを示します。さまざまな平衡計算と画像ノイズ除去の問題に関する広範な数値実験は、増加する平均化スキームの有効性を示しています。特に、増加する平均は、すべてのテスト問題で均一な平均​​を桁違いに上回っています。マトリックスゲームや展開型ゲームを解く場合、平均を増やすと、最後の反復よりも一貫してパフォーマンスが向上します。マトリックスゲームの場合、平均化を増加させる一次法は、競争の激しいCFR +アルゴリズムよりも優れています。,
Provably Good Solutions to the Knapsack Problem via Neural Networks of Bounded Size,"['Christoph Hertrich', 'Martin Skutella']",https://arxiv.org/abs/2005.14105,"In view of the undisputed success of neural networks and due to the remarkable recent improvements in their ability to solve a huge variety of practical problems, the development of a satisfying and rigorous mathematical understanding of their performance is one of the main challenges in the field of learning theory. Against this background, we study the expressive power of neural networks through the example of the classical NP-hard Knapsack Problem. 
Our main contribution is a class of recurrent neural networks (RNNs) with rectified linear units that are iteratively applied to each item of a Knapsack instance and thereby compute optimal or provably good solution values. In order to find optimum Knapsack solutions, an RNN of depth four and width depending quadratically on the profit of an optimum Knapsack solution is sufficient. We also prove the following tradeoff between the size of an RNN and the quality of the computed Knapsack solution: For Knapsack instances consisting of $n$ items, an RNN of depth five and width $w$ computes a solution of value at least $1-\mathcal{O}(n^2/\sqrt{w})$ times the optimum solution value. Our results build upon a dynamic programming formulation of the Knapsack Problem as well as a careful rounding of profit values that is also at the core of the well-known fully polynomial-time approximation scheme for the Knapsack Problem. Finally, we point out that similar results can be achieved for other optimization problems that can be solved by dynamic programming, such as, e.g., various Shortest Path Problems and the Longest Common Subsequence Problem.",ニューラルネットワークの明白な成功を考慮し、そして多種多様な実用的な問題を解決する能力の目覚ましい最近の改善により、それらの性能の満足のいく厳密な数学的理解の開発は、次の分野における主要な課題の1つです。学習理論。このような背景から、古典的なNP困難ナップサック問題の例を通してニューラルネットワークの表現力を研究します。私たちの主な貢献は、Knapsackインスタンスの各アイテムに繰り返し適用され、それによって最適または証明可能な優れたソリューション値を計算する、正規化線形ユニットを備えたリカレントニューラルネットワーク（RNN）のクラスです。最適なナップザックソリューションを見つけるには、最適なナップザックソリューションの利益に二次関数的に依存する深さ4と幅のRNNで十分です。また、RNNのサイズと計算されたナップザックソリューションの品質の間の次のトレードオフを証明します。n個のアイテムで構成されるナップザックインスタンスの場合、深さ5、幅wのRNNは、少なくとも$ 1- \ mathcal {Oの値のソリューションを計算します。 }（n ^ 2 / \ sqrt {w}）$に最適解の値を掛けます。私たちの結果は、ナップサック問題の動的計画法の定式化と、ナップサック問題のよく知られた完全多項式時間近似スキームの中核でもある利益値の注意深い丸めに基づいています。最後に、動的計画法によって解決できる他の最適化問題、たとえば、さまざまな最短経路問題や最長共通部分列問題についても、同様の結果が得られることを指摘します。,https://d3i71xaburhd42.cloudfront.net/05e95fdf43e627fb1827ee3e21c35f0ebf0b3ba2/5-Figure1-1.png
Provably Secure Federated Learning against Malicious Clients,"['Xiaoyu Cao', 'Jinyuan Jia', 'Neil Zhenqiang Gong']",,,,
WCSAC: Worst-Case Soft Actor Critic for Safety-Constrained Reinforcement Learning,"['Qisong Yang', 'Thiago D. Simão', 'Simon H Tindemans', 'Matthijs T. J. Spaan']",,,,
A Recipe for Global Convergence Guarantee in Deep Neural Networks,"['Kenji Kawaguchi', 'Qingyun Sun']",,,,
Mind-the-Gap! Unsupervised Domain Adaptation for Text-Video Retrieval,"['Qingchao Chen', 'Yang Liu', 'Samuel Albanie']",,,,
Modeling the Momentum Spillover Effect for Stock Prediction via Attribute-Driven Graph Attention Networks,"['Rui Cheng', 'Qing Li']",,,,
Queue-Learning: A Reinforcement Learning Approach for Providing Quality of Service,"['Majid Raeis', 'Ali Tizghadam', 'Alberto Leon-Garcia']",https://arxiv.org/abs/2101.04627,"End-to-end delay is a critical attribute of quality of service (QoS) in application domains such as cloud computing and computer networks. This metric is particularly important in tandem service systems, where the end-to-end service is provided through a chain of services. Service-rate control is a common mechanism for providing QoS guarantees in service systems. In this paper, we introduce a reinforcement learningbased (RL-based) service-rate controller that provides probabilistic upper-bounds on the end-to-end delay of the system, while preventing the overuse of service resources. In order to have a general framework, we use queueing theory to model the service systems. However, we adopt an RL-based approach to avoid the limitations of queueing-theoretic methods. In particular, we use Deep Deterministic Policy Gradient (DDPG) to learn the service rates (action) as a function of the queue lengths (state) in tandem service systems. In contrast to existing RL-based methods that quantify their performance by the achieved overall reward, which could be hard to interpret or even misleading, our proposed controller provides explicit probabilistic guarantees on the end-to-end delay of the system. The evaluations are presented for a tandem queueing system with non-exponential inter-arrival and service times, the results of which validate our controller’s capability in meeting QoS constraints.",エンドツーエンドの遅延は、クラウドコンピューティングやコンピューターネットワークなどのアプリケーションドメインにおけるサービス品質（QoS）の重要な属性です。このメトリックは、エンドツーエンドのサービスが一連のサービスを通じて提供されるタンデムサービスシステムで特に重要です。サービスレート制御は、サービスシステムでQoS保証を提供するための一般的なメカニズムです。このホワイトペーパーでは、サービスリソースの過剰使用を防ぎながら、システムのエンドツーエンドの遅延に確率的な上限を提供する強化学習ベース（RLベース）のサービスレートコントローラーを紹介します。一般的なフレームワークを作成するために、キューイング理論を使用してサービスシステムをモデル化します。ただし、待ち行列理論的な方法の制限を回避するために、RLベースのアプローチを採用しています。特に、Deep Deterministic Policy Gradient（DDPG）を使用して、タンデムサービスシステムのキューの長さ（状態）の関数としてサービスレート（アクション）を学習します。解釈が困難または誤解を招く可能性がある、達成された全体的な報酬によってパフォーマンスを定量化する既存のRLベースの方法とは対照的に、提案されたコントローラーは、システムのエンドツーエンドの遅延に対して明示的な確率的保証を提供します。評価は、非指数関数的な到着間隔とサービス時間を持つタンデムキューイングシステムに対して提示され、その結果は、QoS制約を満たすためのコントローラーの機能を検証します。,https://d3i71xaburhd42.cloudfront.net/fd15384646a386521ee4824c35011bc17e6fa987/2-Figure1-1.png
Learning Compositional Sparse Gaussian Processes with a Shrinkage Prior,"['Anh Tong', 'Toan M Tran', 'Kim Juhyeong', 'Hung Bui', 'Jaesik Choi']",https://arxiv.org/abs/2012.11339,"Choosing a proper set of kernel functions is an important problem in learning Gaussian Process (GP) models since each kernel structure has different model complexity and data fitness. Recently, automatic kernel composition methods provide not only accurate prediction but also attractive interpretability through search-based methods. However, existing methods suffer from slow kernel composition learning. To tackle large-scaled data, we propose a new sparse approximate posterior for GPs, MultiSVGP, constructed from groups of inducing points associated with individual additive kernels in compositional kernels. We demonstrate that this approximation provides a better fit to learn compositional kernels given empirical observations. We also theoretically justification on error bound when compared to the traditional sparse GP. In contrast to the search-based approach, we present a novel probabilistic algorithm to learn a kernel composition by handling the sparsity in the kernel selection with Horseshoe prior. We demonstrate that our model can capture characteristics of time series with significant reductions in computational time and have competitive regression performance on real-world data sets.",カーネル構造ごとにモデルの複雑さとデータの適合性が異なるため、カーネル関数の適切なセットを選択することは、ガウス過程（GP）モデルを学習する上で重要な問題です。最近、自動カーネル構成方法は、正確な予測だけでなく、検索ベースの方法による魅力的な解釈可能性も提供します。ただし、既存の方法では、カーネル構成の学習が遅くなります。大規模なデータに取り組むために、構成カーネル内の個々の加法カーネルに関連付けられた誘導点のグループから構築された、GPの新しいスパース近似事後確率MultiSVGPを提案します。この近似は、経験的な観察を前提として、構成カーネルを学習するためのより良い適合を提供することを示しています。また、従来のスパースGPと比較した場合、エラー限界を理論的に正当化します。検索ベースのアプローチとは対照的に、Horseshoe事前確率を使用してカーネル選択のスパース性を処理することにより、カーネル構成を学習するための新しい確率的アルゴリズムを提示します。私たちのモデルは、計算時間を大幅に短縮して時系列の特性をキャプチャし、実際のデータセットで競合する回帰パフォーマンスを発揮できることを示しています。,https://d3i71xaburhd42.cloudfront.net/4522d04e6dff6e05e83e4c595dffd8176711da4d/3-Figure1-1.png
Deep Event Stereo Leveraged by Event-to-Image Translation,"['Soikat Hasan Ahmed', 'Hae Woong Jang', 'S M Nadim Uddin', 'Yong Ju Jung']",,,,
A Joint Training Dual-MRC Framework for Aspect Based Sentiment Analysis,"['Yue Mao', 'Yi Shen', 'Chao Yu', 'LongJun Cai']",https://arxiv.org/abs/2101.00816,"Aspect based sentiment analysis (ABSA) involves three fundamental subtasks: aspect term extraction, opinion term extraction, and aspect-level sentiment classification. Early works only focused on solving one of these subtasks individually. Some recent work focused on solving a combination of two subtasks, e.g., extracting aspect terms along with sentiment polarities or extracting the aspect and opinion terms pair-wisely. More recently, the triple extraction task has been proposed, i.e., extracting the (aspect term, opinion term, sentiment polarity) triples from a sentence. However, previous approaches fail to solve all subtasks in a unified end-to-end framework. In this paper, we propose a complete solution for ABSA. We construct two machine reading comprehension (MRC) problems and solve all subtasks by joint training two BERT-MRC models with parameters sharing. We conduct experiments on these subtasks, and results on several benchmark datasets demonstrate the effectiveness of our proposed framework, which significantly outperforms existing state-ofthe-art methods. Introduction Aspect based sentiment analysis (ABSA)1 is an important research area in natural language processing. Consider the example in Figure 1, in the sentence “The ambience was nice, but the service was not so great.”, the aspect terms (AT) are “ambience/service” and the opinion terms (OT) are “nice/not so great”. Traditionally, there exist three fundamental subtasks: aspect term extraction, opinion term extraction, and aspect-level sentiment classification. Recent research works aim to do a combination of two subtasks and have achieved great progress. For example, they extract (AT, OT) pairs, or extract ATs with corresponding sentiment polarities (SP). More recently, some work that aims to do all related subtasks in ABSA with a unified framework has raised increasing interests. For convenience, we assume the following abbreviations of ABSA subtasks as illustrated in Figure 1:",アスペクトベースの感情分析（ABSA）には、アスペクト用語の抽出、意見用語の抽出、およびアスペクトレベルの感情分類という3つの基本的なサブタスクが含まれます。初期の作品は、これらのサブタスクの1つを個別に解決することにのみ焦点を当てていました。最近のいくつかの研究は、2つのサブタスクの組み合わせを解決することに焦点を当てています。たとえば、感情の極性とともにアスペクト用語を抽出するか、アスペクトと意見の用語をペアで抽出します。最近では、トリプル抽出タスクが提案されています。つまり、文から（アスペクト用語、意見用語、感情極性）トリプルを抽出します。ただし、以前のアプローチでは、統合されたエンドツーエンドのフレームワークですべてのサブタスクを解決できません。この論文では、ABSAの完全なソリューションを提案します。 2つの機械読解（MRC）問題を構築し、パラメーターを共有する2つのBERT-MRCモデルを共同トレーニングすることですべてのサブタスクを解決します。これらのサブタスクで実験を行い、いくつかのベンチマークデータセットの結果は、提案されたフレームワークの有効性を示しています。これは、既存の最先端の方法を大幅に上回っています。はじめにアスペクトベースの感情分析（ABSA）1は、自然言語処理における重要な研究分野です。図1の例を考えてみましょう。文の中で、雰囲気は素晴らしかったが、サービスはそれほど素晴らしかった。アスペクト用語（AT）は雰囲気/サービスであり、意見用語（OT）は素晴らしかった/それほど素晴らしかった。従来、3つの基本的なサブタスクが存在します。アスペクト用語の抽出、意見用語の抽出、およびアスペクトレベルの感情分類です。最近の研究は、2つのサブタスクの組み合わせを目的としており、大きな進歩を遂げています。たとえば、（AT、OT）ペアを抽出したり、対応する感情極性（SP）を持つATを抽出したりします。最近では、ABSAの関連するすべてのサブタスクを統一されたフレームワークで実行することを目的としたいくつかの作業により、関心が高まっています。便宜上、図1に示すように、ABSAサブタスクの次の略語を想定しています。,https://d3i71xaburhd42.cloudfront.net/0e021f936adf979f86812d67f32b090acb07d706/1-Figure1-1.png
Dynamic Graph Representation Learning for Video Dialog via Multi-Modal Shuffled Transformers,"['Shijie Geng', 'Peng Gao', 'Moitreya Chatterjee', 'Chiori Hori', 'Jonathan LeRoux', 'Yongfeng Zhang', 'Hongsheng Li', 'Anoop Cherian']",,,,
Planning with Learned Object Importance in Large Problem Instances Using Graph Neural Networks,"['Tom Silver', 'Rohan Chitnis', 'Aidan Curtis', 'Joshua Tenenbaum', 'Tomas Lozano-Perez', 'Leslie Kaelbling']",https://arxiv.org/abs/2009.05613,"Real-world planning problems often involve hundreds or even thousands of objects, straining the limits of modern planners. In this work, we address this challenge by learning to predict a small set of objects that, taken together, would be sufficient for finding a plan. We propose a graph neural network architecture for predicting object importance in a single pass, thereby incurring little overhead while substantially reducing the number of objects that must be considered by the planner. Our approach treats the planner and transition model as black boxes, and can be used with any off-the-shelf planner. Empirically, across classical planning, probabilistic planning, and robotic task and motion planning, we find that our method results in planning that is significantly faster than several baselines, including other partial grounding strategies and lifted planners. We conclude that learning to predict a sufficient set of objects for a planning problem is a simple, powerful, and general mechanism for planning in large instances. Video: this https URL",実際の計画の問題には、数百または数千ものオブジェクトが関係していることが多く、現代の計画担当者の限界に負担をかけています。この作業では、計画を見つけるのに十分なオブジェクトの小さなセットを予測することを学習することで、この課題に対処します。シングルパスでオブジェクトの重要性を予測するためのグラフニューラルネットワークアーキテクチャを提案します。これにより、オーバーヘッドがほとんど発生せず、プランナーが考慮する必要のあるオブジェクトの数が大幅に削減されます。私たちのアプローチは、プランナーと遷移モデルをブラックボックスとして扱い、既成のプランナーで使用できます。経験的に、古典的な計画、確率的計画、およびロボットのタスクとモーションの計画全体で、私たちの方法は、他の部分的な接地戦略やリフトプランナーを含むいくつかのベースラインよりも大幅に高速な計画をもたらすことがわかりました。計画問題の十分なオブジェクトのセットを予測することを学ぶことは、大規模なインスタンスで計画するための単純で強力な一般的なメカニズムであると結論付けます。ビデオ：このhttps URL,https://d3i71xaburhd42.cloudfront.net/b1f122c06a9a87678d92dbf5a4a843c2a7843e26/1-Figure1-1.png
Knowledge-Enhanced Top-K Recommendation in Poincaré Ball,"['Chen Ma', 'Liheng Ma', 'Yingxue Zhang', 'Haolun Wu', 'Xue Liu', 'Mark Coates']",https://arxiv.org/abs/2101.04852,"Personalized recommender systems are increasingly important as more content and services become available and users struggle to identify what might interest them. Thanks to the ability for providing rich information, knowledge graphs (KGs) are being incorporated to enhance the recommendation performance and interpretability. To effectively make use of the knowledge graph, we propose a recommendation model in the hyperbolic space, which facilitates the learning of the hierarchical structure of knowledge graphs. Furthermore, a hyperbolic attention network is employed to determine the relative importances of neighboring entities of a certain item. In addition, we propose an adaptive and finegrained regularization mechanism to adaptively regularize items and their neighboring representations. Via a comparison using three real-world datasets with stateof-the-art methods, we show that the proposed model outperforms the best existing models by 2-16% in terms of NDCG@K on Top-K recommendation.",より多くのコンテンツとサービスが利用可能になり、ユーザーが興味のあるものを特定するのに苦労するにつれて、パーソナライズされたレコメンダーシステムはますます重要になっています。豊富な情報を提供する機能のおかげで、推奨のパフォーマンスと解釈可能性を強化するために知識グラフ（KG）が組み込まれています。知識グラフを有効に活用するために、知識グラフの階層構造の学習を容易にする双曲空間での推奨モデルを提案します。さらに、双曲線注意ネットワークは、特定のアイテムの隣接するエンティティの相対的な重要性を決定するために使用されます。さらに、アイテムとその隣接表現を適応的に正則化するための、適応的できめ細かい正則化メカニズムを提案します。最先端の方法で3つの実世界のデータセットを使用した比較により、提案されたモデルが既存の最良のモデルを2〜16で上回っていることを示します。,https://d3i71xaburhd42.cloudfront.net/ac00f701ea57ba2f588895c31a098928d080f1aa/4-Figure1-1.png
